# 2025년 49주차 인프라 정기점검 보고서
# 생성일시: 2025-12-04 04:17:18
# 회사: Your Company
# 담당팀: Infrastructure Team
# 총 점검항목: 30개
# 정상: 30 / 경고: 0 / 위험: 0 / 확인불가: 0

점검ID,점검항목,카테고리,설명,상태,측정값,임계치,결과메시지,점검시간
OS-001,디스크 사용량,OS,루트 파일시스템 디스크 사용률 확인,정상,46,80%,정상 범위 내,2025-12-04T04:17:16.391526
OS-002,메모리 사용량,OS,시스템 메모리 사용률 확인,정상,18.8,85%,정상 범위 내,2025-12-04T04:17:16.396707
OS-003,CPU 사용량,OS,CPU 평균 사용률 확인,정상,0,90%,정상 범위 내,2025-12-04T04:17:16.563406
OS-004,시스템 업타임,OS,시스템 가동 시간 확인,정상,"up 1 week, 6 days, 2 hours, 40 minutes",-,정상 확인,2025-12-04T04:17:16.569555
OS-005,좀비 프로세스,OS,좀비 프로세스 개수 확인,정상,0,-,정상 범위 내,2025-12-04T04:17:16.584511
OS-006,로드 애버리지,OS,시스템 로드 애버리지 (1분),정상,0.06,4.0,정상 범위 내,2025-12-04T04:17:16.590067
OS-007,Swap 사용량,OS,Swap 메모리 사용률 확인,정상,0,50%,정상 범위 내,2025-12-04T04:17:16.595877
OS-008,열린 파일 수,OS,시스템 전체 열린 파일 디스크립터 수,정상,1696,50000개,정상 범위 내,2025-12-04T04:17:16.601191
OS-009,네트워크 연결 수,OS,ESTABLISHED 상태 TCP 연결 수,정상,12,1000개,정상 범위 내,2025-12-04T04:17:16.605975
OS-010,커널 버전,OS,현재 커널 버전 정보,정상,5.14.0-570.17.1.el9_6.x86_64,-,정상 확인,2025-12-04T04:17:16.609229
K8S-001,노드 상태,Kubernetes,모든 노드의 Ready 상태 확인,정상,"ssg-master01:Ready
ssg-master02:Ready
ssg-master03:Ready
ssg-worker01:Ready
ssg-worker02:Ready
ssg-worker03:Ready",-,모든 항목 정상 (6/6),2025-12-04T04:17:16.677257
K8S-002,노드 CPU 사용량,Kubernetes,노드별 CPU 사용률,정상,"ssg-master01:5%
ssg-master02:5%
ssg-master03:5%
ssg-worker01:3%
ssg-worker02:4%
ssg-worker03:3%",80%,정상 범위 내,2025-12-04T04:17:16.768604
K8S-003,노드 메모리 사용량,Kubernetes,노드별 메모리 사용률,정상,"ssg-master01:17%
ssg-master02:15%
ssg-master03:15%
ssg-worker01:22%
ssg-worker02:21%
ssg-worker03:17%",80%,정상 범위 내,2025-12-04T04:17:16.831033
K8S-004,kube-system Pod 상태,Kubernetes,kube-system 네임스페이스 Pod 상태,정상,"cilium-7ftrl:Running
cilium-8jdjz:Running
cilium-envoy-4s5x8:Running
cilium-envoy-7jzfk:Running
cilium-envoy-9vhxv:Running
cilium-envoy-rzfd8:Running
cilium-envoy-zsjql:Running
cilium-envoy-zz5mj:Running
cilium-fq7pp:Running
cilium-j46xf:Running
cilium-operator-694f9f5d8d-42zb4:Running
cilium-operat",-,모든 항목 정상 (36/36),2025-12-04T04:17:16.923604
K8S-005,PV 상태,Kubernetes,PersistentVolume 바인딩 상태,정상,pvc-b41b76a9-64b6-4231-8bd0-d06922ee12e8:Bound,-,모든 항목 정상 (1/1),2025-12-04T04:17:16.985380
K8S-006,PVC 상태,Kubernetes,PersistentVolumeClaim 바인딩 상태,정상,data-my-mariadb-0:Bound,-,모든 항목 정상 (1/1),2025-12-04T04:17:17.052707
K8S-007,클러스터 Warning 이벤트,Kubernetes,최근 1시간 Warning 이벤트 수,정상,0,10개,정상 범위 내,2025-12-04T04:17:17.127994
K8S-008,NotReady 노드 수,Kubernetes,NotReady 상태 노드 개수,정상,"0
0",-,정상 범위 내,2025-12-04T04:17:17.200686
K8S-009,클러스터 버전,Kubernetes,Kubernetes 클러스터 버전,정상,데이터 없음,-,정상 확인,2025-12-04T04:17:17.249582
K8S-010,네임스페이스 수,Kubernetes,전체 네임스페이스 개수,정상,9,-,정상 확인,2025-12-04T04:17:17.316931
SVC-001,Deployment 상태,Services,모든 Deployment의 Ready 상태,정상,"cilium-operator:2/2/2
coredns:2/2/2
dns-autoscaler:1/1/1
metrics-server:1/1/1
controller:1/1/1
csi-cephfsplugin-provisioner:2/2/2
csi-rbdplugin-provisioner:2/2/2
rook-ceph-crashcollector-ssg-worker01:1/1/1
rook-ceph-crashcollector-ssg-worker02:1/1/1
rook-ceph-crashcollector-ssg-worker03:1/1/1
rook-c",-,모든 리소스 정상 (26개),2025-12-04T04:17:17.417490
SVC-002,StatefulSet 상태,Services,모든 StatefulSet의 Ready 상태,정상,my-mariadb:1/1,-,모든 리소스 정상 (1개),2025-12-04T04:17:17.485247
SVC-003,DaemonSet 상태,Services,모든 DaemonSet의 Ready 상태,정상,"cilium:6/6
cilium-envoy:6/6
kube-proxy:6/6
speaker:6/6
csi-cephfsplugin:3/3
csi-rbdplugin:3/3",-,모든 리소스 정상 (6개),2025-12-04T04:17:17.553766
SVC-004,Service Endpoints,Services,Endpoint가 없는 Service 확인,정상,0,-,정상,2025-12-04T04:17:17.623151
